,,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December,Year ending December
Police Region,Local Government Area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1 North West Metro, Banyule,"5,603","5,815","6,430","6,807","6,857","7,482","7,434","7,167","7,047","6,717"
1 North West Metro, Brimbank,"14,296","15,481","15,273","13,725","14,821","15,099","13,247","14,573","15,153","15,399"
1 North West Metro, Darebin,"9,583","9,672","10,018","10,976","11,474","13,227","11,445","11,606","11,420","12,046"
1 North West Metro, Hobsons Bay,"4,743","5,850","5,446","5,557","5,358","5,340","4,908","4,813","4,999","4,497"
1 North West Metro, Hume,"11,012","11,988","12,030","13,223","14,882","17,663","15,048","15,544","15,879","16,216"
1 North West Metro, Maribyrnong,"6,981","7,475","6,956","6,576","6,909","7,190","6,466","6,938","6,909","7,342"
1 North West Metro, Melbourne,"23,656","24,746","24,624","23,725","24,848","28,254","26,518","26,893","26,971","26,850"
1 North West Metro, Melton,"6,065","6,926","6,828","7,530","8,376","9,066","8,049","8,053","9,080","10,113"
1 North West Metro, Moonee Valley,"6,029","6,962","6,248","6,446","6,957","7,741","6,668","6,684","6,476","6,463"
1 North West Metro, Moreland,"8,895","9,813","9,243","10,295","11,167","12,121","10,525","11,611","10,845","10,829"
1 North West Metro, Nillumbik,"1,458","1,454","1,600","1,585","1,941","2,264","1,845","1,645","1,655","1,632"
1 North West Metro, Whittlesea,"8,758","9,849","9,986","10,239","10,378","13,079","11,342","11,777","12,068","12,155"
1 North West Metro, Wyndham,"9,639","11,066","9,941","10,157","11,322","12,370","10,855","11,290","13,220","13,246"
1 North West Metro, Yarra,"8,718","9,199","9,204","9,958","10,051","11,293","10,562","11,314","11,074","11,403"
1 North West Metro,Total,"125,436","136,296","133,827","136,799","145,341","162,189","144,912","149,908","152,796","154,908"
2 Eastern, Alpine,278,318,363,278,357,267,310,393,426,413
2 Eastern, Bass Coast,"1,601","1,848","1,970","1,996","1,929","2,070","1,936","1,661","1,836","2,053"
2 Eastern, Baw Baw,"1,732","2,133","2,215","2,278","2,490","2,921","2,766","3,165","3,606","3,690"
2 Eastern, Benalla,760,728,854,819,810,"1,019",976,874,961,996
2 Eastern, Boroondara,"5,265","5,918","5,965","5,686","5,897","7,061","5,741","5,603","6,177","6,252"
2 Eastern, East Gippsland,"2,499","2,667","3,071","2,921","3,147","3,096","2,973","3,171","3,645","3,686"
2 Eastern, Greater Shepparton,"5,002","4,824","5,116","5,629","5,498","6,329","5,940","6,196","6,349","6,036"
2 Eastern, Indigo,370,383,355,329,380,319,377,342,434,446
2 Eastern, Knox,"5,973","6,852","6,923","7,160","7,355","9,168","8,432","8,075","8,792","8,756"
2 Eastern, Latrobe,"6,785","7,456","7,618","7,815","9,019","10,450","9,282","9,908","10,104","9,646"
2 Eastern, Manningham,"2,804","2,924","3,112","3,130","3,354","3,961","3,699","3,347","3,824","3,439"
2 Eastern, Mansfield,249,254,293,388,339,481,494,333,315,372
2 Eastern, Maroondah,"4,779","5,219","5,497","5,872","5,792","6,768","6,300","5,913","5,996","5,777"
2 Eastern, Mitchell,"1,816","1,961","1,991","2,145","2,656","3,228","3,059","2,998","3,141","3,227"
2 Eastern, Moira,"1,176","1,058","1,177","1,083","1,104","1,369","1,450","1,566","1,939","1,604"
2 Eastern, Monash,"6,475","6,526","6,825","6,885","7,525","8,962","8,175","8,231","9,072","9,916"
2 Eastern, Murrindindi,428,457,535,517,509,547,546,571,604,657
2 Eastern, South Gippsland,857,935,895,901,907,"1,139","1,004","1,023","1,314","1,260"
2 Eastern, Strathbogie,347,379,373,340,359,479,438,440,447,483
2 Eastern, Towong,161,196,213,148,167,176,174,178,149,158
2 Eastern, Wangaratta,"1,690","1,737","1,679","1,689","1,629","1,811","1,780","1,740","1,764","1,652"
2 Eastern, Wellington,"2,309","2,862","2,798","2,900","2,965","3,318","2,722","2,824","3,274","3,325"
2 Eastern, Whitehorse,"5,212","5,583","5,801","5,700","5,781","6,354","6,513","6,251","7,272","7,223"
2 Eastern, Wodonga,"2,383","2,603","2,235","2,431","2,617","2,496","2,423","2,385","2,793","2,588"
