index_crime,Police_Region,LGA_crime,2011_crime,2012_crime,2013_crime,2014_crime,2015_crime,2016_crime,2017_crime,2018_crime,2019_crime,2020_crime,index_population,LGA_population,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population
16,2 Eastern, Alpine,278,318,363,278,357,267,310,393,426,413,6,Alpine (S),12709,12655.0,12581.0,12432.0,12372.0,12260.0,12227.0,12156.0,12112.0,12089.0,12068.0,12183.0,12283.0,12355.0,12429.0,12578.0,12638.0,12730.0,12812.0,12973.0
53,4 Western, Ararat,802,934,874,797,910,867,912,900,853,"1,104",7,Ararat (RC),11544,11566.0,11536.0,11510.0,11452.0,11422.0,11363.0,11344.0,11332.0,11337.0,11326.0,11400.0,11490.0,11560.0,11644.0,11745.0,11756.0,11795.0,11844.0,11965.0
54,4 Western, Ballarat,"8,179","8,179","8,108","7,533","8,730","9,475","8,958","8,054","8,931","7,383",8,Ballarat (C),82333,83168.0,84190.0,84775.0,85663.0,86647.0,87796.0,89531.0,91390.0,93359.0,95185.0,96728.0,98344.0,99914.0,101479.0,103500.0,105422.0,107324.0,109504.0,111361.0
1,1 North West Metro, Banyule,"5,603","5,815","6,430","6,807","6,857","7,482","7,434","7,167","7,047","6,717",9,Banyule (C),117967,117559.0,117313.0,116661.0,117149.0,117963.0,119362.0,120580.0,122248.0,122780.0,122983.0,123584.0,124314.0,125107.0,126088.0,127447.0,129115.0,130250.0,131640.0,131940.0
17,2 Eastern, Bass Coast,"1,601","1,848","1,970","1,996","1,929","2,070","1,936","1,661","1,836","2,053",10,Bass Coast (S),25243,25809.0,26224.0,26476.0,26894.0,26941.0,27408.0,27981.0,28561.0,29474.0,30233.0,30811.0,31331.0,31917.0,32576.0,33464.0,34386.0,35326.0,36315.0,37445.0
18,2 Eastern, Baw Baw,"1,732","2,133","2,215","2,278","2,490","2,921","2,766","3,165","3,606","3,690",11,Baw Baw (S),35850,35990.0,36283.0,36643.0,37079.0,37814.0,38503.0,39389.0,40516.0,42097.0,43389.0,44506.0,45627.0,46644.0,47837.0,49296.0,50676.0,52012.0,53394.0,54884.0
42,3 Southern Metro, Bayside,"3,004","3,504","3,489","3,231","3,643","4,207","3,831","3,697","4,016","4,138",12,Bayside (C),88262,88717.0,89088.0,89394.0,89873.0,90807.0,92041.0,93535.0,94850.0,95594.0,96119.0,96971.0,98252.0,99797.0,101268.0,102912.0,104282.0,105745.0,106856.0,107541.0
19,2 Eastern, Benalla,760,728,854,819,810,"1,019",976,874,961,996,13,Benalla (RC),13886,13897.0,13878.0,13846.0,13829.0,13807.0,13802.0,13792.0,13796.0,13838.0,13818.0,13849.0,13878.0,13898.0,13923.0,13982.0,13974.0,14023.0,14034.0,14137.0
20,2 Eastern, Boroondara,"5,265","5,918","5,965","5,686","5,897","7,061","5,741","5,603","6,177","6,252",14,Boroondara (C),156246,156886.0,157298.0,157885.0,158727.0,159605.0,161308.0,163408.0,165284.0,166326.0,167062.0,168483.0,170485.0,172660.0,174753.0,177276.0,179677.0,181376.0,183197.0,183023.0
2,1 North West Metro, Brimbank,"14,296","15,481","15,273","13,725","14,821","15,099","13,247","14,573","15,153","15,399",15,Brimbank (C),167213,168499.0,169424.0,170953.0,172749.0,174231.0,177004.0,180561.0,185397.0,188895.0,191496.0,193774.0,196169.0,198468.0,200860.0,204190.0,206997.0,208744.0,209568.0,208247.0
