Police_Region,LGA_crime,CP_2012,CP_2013,CP_2014,CP_2015,CP_2016,CP_2017,CP_2018,CP_2019,CP_2020,CC_2012,CC_2013,CC_2014,CC_2015,CC_2016,CC_2017,CC_2018,CC_2019,CC_2020
1 North West Metro, Moreland,2720.0,3315.0,3817.0,3771.0,4424.0,4680.0,4806.0,4031.0,2951.0,918.0,-570.0,1052.0,872.0,954.0,-1596.0,1086.0,-766.0,-16.0
1 North West Metro, Maribyrnong,2025.0,2603.0,2681.0,2320.0,2159.0,2420.0,2051.0,2069.0,1500.0,494.0,-519.0,-380.0,333.0,281.0,-724.0,472.0,-29.0,433.0
1 North West Metro, Melbourne,7338.0,11133.0,9264.0,8897.0,9224.0,13045.0,11176.0,8677.0,4762.0,1090.0,-122.0,-899.0,1123.0,3406.0,-1736.0,375.0,78.0,-121.0
1 North West Metro, Melton,5686.0,5607.0,5373.0,5606.0,6505.0,7198.0,8100.0,8218.0,7564.0,861.0,-98.0,702.0,846.0,690.0,-1017.0,4.0,1027.0,1033.0
1 North West Metro, Darebin,2044.0,2286.0,2239.0,2463.0,3152.0,3625.0,2902.0,2571.0,2206.0,89.0,346.0,958.0,498.0,1753.0,-1782.0,161.0,-186.0,626.0
1 North West Metro, Moonee Valley,1493.0,1791.0,2299.0,2468.0,2640.0,2540.0,2495.0,2407.0,1440.0,933.0,-714.0,198.0,511.0,784.0,-1073.0,16.0,-208.0,-13.0
1 North West Metro, Hobsons Bay,944.0,849.0,1229.0,1257.0,1771.0,1626.0,1410.0,1284.0,424.0,1107.0,-404.0,111.0,-199.0,-18.0,-432.0,-95.0,186.0,-502.0
1 North West Metro, Nillumbik,219.0,239.0,259.0,242.0,499.0,444.0,323.0,158.0,120.0,-4.0,146.0,-15.0,356.0,323.0,-419.0,-200.0,10.0,-23.0
1 North West Metro, Brimbank,2278.0,2395.0,2299.0,2392.0,3330.0,2807.0,1747.0,824.0,-1321.0,1185.0,-208.0,-1548.0,1096.0,278.0,-1852.0,1326.0,580.0,246.0
1 North West Metro, Hume,4912.0,5671.0,6405.0,6898.0,8865.0,8197.0,9185.0,9122.0,7643.0,976.0,42.0,1193.0,1659.0,2781.0,-2615.0,496.0,335.0,337.0
